lat,lon,amplitude_1014kgm,year,month,day,hour,minute,second,lat2,lon2,Msurf,Region Number,ID
68.63,-32.94,1.97,1993,1,24,10,21,4,68.5,-33.5,5.1,1,E199301241021
65.23,-40.87,0.63,1993,7,26,12,26,40,65.75,-41.25,4.9,3,E199307261226
68.58,-32.9,0.75,1993,8,5,2,0,40,68.75,-32.75,4.9,1,E199308050200
68.66,-33.12,0.6,1993,8,24,2,56,0,67,-35,4.8,1,E199308240256
66.38,-37.72,0.35,1993,10,19,21,10,0,66.5,-37.5,4.8,2,E199310192110
68.66,-32.93,1.03,1993,11,30,7,33,52,67.5,-33.5,5,1,E199311300733
68.68,-32.93,1.18,1993,12,10,15,24,56,67.25,-34.25,5,1,E199312101524
68.62,-32.96,0.6,1994,3,31,0,7,4,68.5,-33.5,4.8,1,E199403310007
65.35,-41.03,0.58,1994,4,6,18,1,28,65.75,-41.25,4.8,3,E199404061801
65.23,-41.12,0.15,1994,8,16,8,58,48,65.25,-40.75,4.7,3,E199408160858
68.63,-32.88,1.09,1994,8,21,8,36,48,68.5,-33.5,5,1,E199408210836
71.92,-28.45,0.39,1994,8,21,9,46,56,72.5,-28.5,4.8,0,E199408210946
71.77,-51.9,0.3,1994,8,26,6,11,28,72.25,-51.25,4.9,6,E199408260611
68.65,-32.99,0.77,1994,11,26,4,11,4,69.25,-31.25,4.9,1,E199411260411
68.59,-32.78,0.17,1995,7,18,5,30,56,69,-31,4.9,1,E199507180530
68.62,-32.78,0.48,1995,7,24,23,3,52,67.25,-33.25,4.8,1,E199507242303
71.92,-29.58,0.65,1995,8,3,4,21,52,72.75,-28.75,4.9,0,E199508030421
68.63,-33.22,0.83,1995,9,4,0,25,12,69,-33,5,1,E199509040025
68.56,-32.9,0.71,1995,10,6,3,7,36,68,-38,4.9,1,E199510060307
68.64,-32.92,1.7,1995,11,8,22,20,32,70.5,-27.5,5,1,E199511082220
73.53,-54.76,0.4,1995,11,12,2,27,20,73.75,-56.25,4.7,5a,E199511120227
68.54,-32.97,1.34,1995,12,11,9,35,44,68.5,-31.5,5,1,E199512110935
68.55,-33.06,0.68,1996,1,28,16,14,8,68.25,-32.75,4.9,1,E199601281614
66.53,-38.44,0.4,1996,5,14,13,50,16,66.25,-38.25,4.8,2,E199605141350
68.76,-33.69,0.6,1996,6,26,18,29,28,68.25,-33.25,4.9,1,E199606261829
68.67,-33.05,1.02,1996,7,19,18,37,28,67.5,-33.5,4.9,1,E199607191837
66.25,-38.18,0.31,1996,7,25,23,26,8,66.25,-37.75,4.8,2,E199607252326
66.47,-38.1,0.28,1996,8,8,2,47,4,68,-38,4.7,2,E199608080247
68.6,-33.22,1.52,1996,10,4,22,4,48,69.25,-32.25,4.9,1,E199610042204
66.43,-38.18,0.52,1996,11,6,3,46,0,67.5,-38.5,4.8,2,E199611060346
66.47,-38.08,0.58,1996,11,30,13,35,44,65.75,-38.25,4.9,2,E199611301335
68.74,-32.93,1.09,1996,12,7,1,42,32,66.75,-34.25,5.1,1,E199612070142
68.63,-32.87,0.46,1997,3,16,14,52,40,68.25,-33.25,4.9,1,E199703161452
71.77,-51.6,0.47,1997,3,28,2,28,16,71.75,-51.25,4.9,6,E199703280228
68.72,-32.94,0.33,1997,4,7,7,0,32,68.25,-33.25,4.8,1,E199704070700
65.31,-41.16,0.32,1997,5,4,16,28,48,65.75,-40.25,4.8,3,E199705041628
68.56,-32.67,0.32,1997,7,15,6,54,48,69,-33,4.8,1,E199707150654
71.81,-29.17,0.45,1997,8,15,12,1,28,72.25,-30.25,4.9,0,E199708151201
68.65,-32.91,0.68,1997,8,20,13,28,40,68.75,-32.75,4.9,1,E199708201328
71.78,-51.63,0.63,1997,9,6,3,45,52,71.75,-52.25,5,6,E199709060345
68.64,-33.1,0.94,1997,9,12,3,59,20,69.25,-32.75,5,1,E199709120359
68.74,-33.36,0.73,1997,9,24,22,9,12,68.25,-33.25,4.9,1,E199709242209
66.37,-38.3,0.38,1997,10,1,17,41,28,67,-39,4.7,2,E199710011741
65.36,-41.2,0.21,1998,5,1,22,19,36,65.75,-40.75,4.7,3,E199805012219
