time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-29T19:01:43.067Z,60.0067,-149.9148,0,1.3,ml,,,,0.41,ak,ak20415711,2018-11-29T20:20:57.490Z,"28km WSW of Seward, Alaska",ice quake,,0,,,reviewed,ak,ak
2018-11-21T09:37:11.905Z,61.1055,-148.2565,0,1.1,ml,,,,0.21,ak,ak20385615,2018-12-03T00:44:19.386Z,"43km NNE of Whittier, Alaska",ice quake,,0,,,reviewed,ak,ak
2018-11-20T21:11:58.767Z,61.1444,-147.4947,0,1.4,ml,,,,0.84,ak,ak20384854,2018-12-01T01:44:39.836Z,"61km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2018-11-19T18:47:00.029Z,58.6422,-137.516,0,2.3,ml,,,,0.42,ak,ak20383975,2018-11-30T02:01:02.320Z,"106km WNW of Gustavus, Alaska",ice quake,,0,,,reviewed,ak,ak
2018-11-19T15:35:04.960Z,61.063,-148.3945,0,1.4,ml,,,,0.7,ak,ak20382645,2018-11-30T02:00:56.730Z,"35km NNE of Whittier, Alaska",ice quake,,0,,,reviewed,ak,ak
2018-11-19T15:13:10.420Z,58.6607,-136.7688,0,2.2,ml,,,,0.84,ak,ak20382639,2018-12-02T21:40:21.040Z,"66km WNW of Gustavus, Alaska",ice quake,,0,,,reviewed,ak,ak
2018-11-19T03:48:46.973Z,58.5104,-137.1736,0,2.2,ml,,,,0.89,ak,ak20379336,2018-11-30T02:00:30.834Z,"84km W of Gustavus, Alaska",ice quake,,0,,,reviewed,ak,ak
2018-11-19T00:51:05.848Z,60.2177,-141.4181,0,1.5,ml,,,,0.72,ak,ak20378938,2018-11-30T02:00:25.239Z,"58km ENE of Cape Yakataga, Alaska",ice quake,,0,,,reviewed,ak,ak
2018-11-18T13:40:55.965Z,61.1874,-147.6474,0,1.3,ml,,,,0.46,ak,ak20414253,2018-11-29T05:38:25.057Z,"70km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2018-11-18T13:18:58.273Z,58.4383,-137.3521,3.9,2.2,ml,,,,0.64,ak,ak20376190,2018-11-29T05:38:24.535Z,"94km W of Gustavus, Alaska",ice quake,,1.1,,,reviewed,ak,ak
2018-11-18T08:37:10.132Z,60.1885,-141.3142,7.8,1.2,ml,,,,0.06,ak,ak20375404,2018-11-29T05:38:10.947Z,"63km ENE of Cape Yakataga, Alaska",ice quake,,0.3,,,reviewed,ak,ak
2018-11-18T05:29:18.185Z,60.1944,-141.2199,0,1.4,ml,,,,0.53,ak,ak20414214,2018-11-29T05:38:03.695Z,"68km ENE of Cape Yakataga, Alaska",ice quake,,0,,,reviewed,ak,ak
2018-11-17T13:13:20.785Z,60.1717,-141.3889,0,1.6,ml,,,,0.76,ak,ak20371628,2018-11-29T00:08:32.514Z,"59km ENE of Cape Yakataga, Alaska",ice quake,,0,,,reviewed,ak,ak
