time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-12-27T18:12:52.560Z,51.8458,-31.0049,15.62,4.9,mb,,55,13.286,0.73,us,usc000m05p,2014-02-28T08:44:09.000Z,"Northern Mid-Atlantic Ridge",earthquake,,5.3,0.212,,reviewed,us,us
2013-12-24T11:28:57.470Z,52.6342,-35.2119,10,4.6,mb,,134,18.755,1.03,us,usc000ly46,2014-02-28T08:44:06.000Z,"Reykjanes Ridge",earthquake,,1.9,0.182,,reviewed,us,us
2013-12-22T00:23:02.780Z,58.1718,-32.0432,10,4.5,mb,,104,7.404,0.87,us,usc000lxl1,2014-02-27T21:37:26.000Z,"Reykjanes Ridge",earthquake,,1.9,0.066,,reviewed,us,us
2013-12-22T00:21:12.710Z,52.5856,-34.6506,10,4.5,mb,,51,10.405,0.71,us,usc000lxl6,2014-02-27T21:37:26.000Z,"Reykjanes Ridge",earthquake,,1.9,0.057,,reviewed,us,us
2013-12-18T08:22:40.500Z,75.8461,7.1864,13.87,5.3,mwc,,32,3.126,1.13,us,usc000lnvu,2014-02-27T21:37:21.000Z,"Greenland Sea",earthquake,,3.4,,,reviewed,us,gcmt
2013-12-17T14:33:48.190Z,75.8604,7.4984,15.03,4.5,mb,,66,3.069,1.36,us,usc000lntp,2014-02-27T21:37:20.000Z,"Greenland Sea",earthquake,,4.6,0.204,,reviewed,us,us
2013-12-17T13:49:36.310Z,75.8159,7.0208,10,5.1,mb,,30,3.175,0.58,us,usc000lm2d,2014-02-27T21:37:20.000Z,"Greenland Sea",earthquake,,1.8,0.038,,reviewed,us,us
2013-12-04T01:49:32.750Z,77.5027,7.3144,10,4.5,mb,,74,1.709,0.73,us,usb000lcqs,2014-02-15T01:32:08.000Z,"211km WSW of Longyearbyen, Svalbard and Jan Mayen",earthquake,,1.9,0.221,,reviewed,us,us
2013-11-27T05:34:24.470Z,51.2758,-30.1487,10,4.6,mb,,132,13.011,1.07,us,usb000la07,2014-02-12T01:08:34.000Z,"Northern Mid-Atlantic Ridge",earthquake,,1.9,0.087,,reviewed,us,us
2013-11-25T20:29:38.250Z,73.7931,8.5455,10,4.6,mb,,49,4.795,1.45,us,usb000l83k,2014-02-11T02:18:59.000Z,"Greenland Sea",earthquake,,1.9,0.194,,reviewed,us,us
2013-11-25T03:55:00.690Z,80.878,-3.7852,10,4.5,mb,,141,3.389,1.4,us,usb000l5yf,2014-02-11T02:18:58.000Z,"253km ESE of Nord, Greenland",earthquake,,2,0.163,,reviewed,us,us
2013-11-09T02:18:06.510Z,72.5983,2.067,10,4.6,mb,,54,3.691,0.66,us,usb000kv0c,2014-01-17T00:29:13.000Z,"Norwegian Sea",earthquake,,1.8,0.066,,reviewed,us,us
2013-10-28T14:54:28.030Z,76.2836,7.1159,10,5.3,mb,,22,2.843,1.13,us,usc000kpsu,2014-01-03T00:32:57.000Z,"300km SW of Longyearbyen, Svalbard and Jan Mayen",earthquake,,1.8,0.05,,reviewed,us,us
2013-10-13T07:34:06.270Z,63.7251,-22.6586,10,4.8,mb,,46,6.699,0.54,us,usb000kc66,2013-12-24T01:43:00.000Z,"17km SW of Grindavik, Iceland",earthquake,,2.6,0.032,,reviewed,us,us
