time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-12-27T18:12:52.560Z,51.8458,-31.0049,15.62,4.9,mb,,55,13.286,0.73,us,usc000m05p,2014-02-28T08:44:09.000Z,"Northern Mid-Atlantic Ridge",earthquake,,5.3,0.212,,reviewed,us,us
2013-12-27T00:07:02.060Z,77.5786,17.1964,6.55,4.1,mb,,66,0.627,0.7,us,usc000lsdj,2014-02-28T08:44:09.000Z,"80km SSE of Longyearbyen, Svalbard and Jan Mayen",earthquake,,3.9,0.068,,reviewed,us,us
2013-12-24T11:51:58.240Z,52.6004,-34.9949,10,4.3,mb,,136,14.569,0.6,us,usc000ly4g,2014-02-28T08:44:06.000Z,"Reykjanes Ridge",earthquake,,1.9,0.2,,reviewed,us,us
2013-12-24T11:28:57.470Z,52.6342,-35.2119,10,4.6,mb,,134,18.755,1.03,us,usc000ly46,2014-02-28T08:44:06.000Z,"Reykjanes Ridge",earthquake,,1.9,0.182,,reviewed,us,us
2013-12-22T00:23:02.780Z,58.1718,-32.0432,10,4.5,mb,,104,7.404,0.87,us,usc000lxl1,2014-02-27T21:37:26.000Z,"Reykjanes Ridge",earthquake,,1.9,0.066,,reviewed,us,us
2013-12-22T00:21:12.710Z,52.5856,-34.6506,10,4.5,mb,,51,10.405,0.71,us,usc000lxl6,2014-02-27T21:37:26.000Z,"Reykjanes Ridge",earthquake,,1.9,0.057,,reviewed,us,us
2013-12-19T09:30:15.840Z,75.8924,8.5625,16.46,4.2,mb,,111,2.892,1.11,us,usc000lvnx,2014-02-27T21:37:22.000Z,"Greenland Sea",earthquake,,5.1,0.528,,reviewed,us,us
2013-12-18T09:47:29.120Z,75.8065,7.2393,10,4.3,mb,,77,3.15,1.31,us,usc000lnvy,2014-02-27T21:37:21.000Z,"Greenland Sea",earthquake,,1.9,0.238,,reviewed,us,us
2013-12-18T09:22:38.620Z,75.9744,9.0872,10,4.4,mb,,85,2.752,1.28,us,usc000lnwa,2014-02-27T21:37:21.000Z,"298km SW of Longyearbyen, Svalbard and Jan Mayen",earthquake,,1.8,0.135,,reviewed,us,us
2013-12-18T08:22:40.500Z,75.8461,7.1864,13.87,5.3,mwc,,32,3.126,1.13,us,usc000lnvu,2014-02-27T21:37:21.000Z,"Greenland Sea",earthquake,,3.4,,,reviewed,us,gcmt
2013-12-18T08:22:18.760Z,75.9459,7.4058,10,4.2,mb,,57,3.014,1.11,us,usc000lmq6,2014-02-27T21:37:21.000Z,"Greenland Sea",earthquake,,1.9,0.093,,reviewed,us,us
2013-12-17T14:33:48.190Z,75.8604,7.4984,15.03,4.5,mb,,66,3.069,1.36,us,usc000lntp,2014-02-27T21:37:20.000Z,"Greenland Sea",earthquake,,4.6,0.204,,reviewed,us,us
2013-12-17T13:49:36.310Z,75.8159,7.0208,10,5.1,mb,,30,3.175,0.58,us,usc000lm2d,2014-02-27T21:37:20.000Z,"Greenland Sea",earthquake,,1.8,0.038,,reviewed,us,us
2013-12-17T03:01:02.460Z,83.768,-2.8397,14.98,4,mb,,94,6.317,0.53,us,usc000lnt8,2014-02-27T21:37:19.000Z,"North of Svalbard",earthquake,,5.2,0.231,,reviewed,us,us
2013-12-04T01:49:32.750Z,77.5027,7.3144,10,4.5,mb,,74,1.709,0.73,us,usb000lcqs,2014-02-15T01:32:08.000Z,"211km WSW of Longyearbyen, Svalbard and Jan Mayen",earthquake,,1.9,0.221,,reviewed,us,us
2013-11-27T05:34:24.470Z,51.2758,-30.1487,10,4.6,mb,,132,13.011,1.07,us,usb000la07,2014-02-12T01:08:34.000Z,"Northern Mid-Atlantic Ridge",earthquake,,1.9,0.087,,reviewed,us,us
2013-11-25T20:29:38.250Z,73.7931,8.5455,10,4.6,mb,,49,4.795,1.45,us,usb000l83k,2014-02-11T02:18:59.000Z,"Greenland Sea",earthquake,,1.9,0.194,,reviewed,us,us
2013-11-25T03:55:00.690Z,80.878,-3.7852,10,4.5,mb,,141,3.389,1.4,us,usb000l5yf,2014-02-11T02:18:58.000Z,"253km ESE of Nord, Greenland",earthquake,,2,0.163,,reviewed,us,us
2013-11-21T21:38:28.720Z,77.1084,16.8208,5.1,4.1,mb,,79,1.08,0.61,us,usb000l78l,2014-02-11T02:18:54.000Z,"127km SSE of Longyearbyen, Svalbard and Jan Mayen",earthquake,,5.3,0.175,,reviewed,us,us
2013-11-15T05:32:55.800Z,67.0915,-18.9637,10.66,4.2,mb,,87,2.546,0.72,us,usb000l2z6,2014-01-31T21:22:20.000Z,"104km N of Siglufjordur, Iceland",earthquake,,4.8,0.176,,reviewed,us,us
2013-11-09T02:18:06.510Z,72.5983,2.067,10,4.6,mb,,54,3.691,0.66,us,usb000kv0c,2014-01-17T00:29:13.000Z,"Norwegian Sea",earthquake,,1.8,0.066,,reviewed,us,us
2013-11-08T09:38:15.980Z,60.8899,-43.9344,10,4.4,mb,,112,0.771,0.9,us,usb000ky8x,2014-01-17T00:29:12.000Z,"109km NE of Nanortalik, Greenland",earthquake,,1.9,0.179,,reviewed,us,us
2013-10-30T11:46:26.000Z,73.151,-73.355,18,4.3,mb,,,,0.86,us,usc000krgt,2014-01-10T10:03:37.000Z,"159km ENE of Pond Inlet, Canada",earthquake,,1.9,0.087,,reviewed,ott,us
2013-10-28T14:54:28.030Z,76.2836,7.1159,10,5.3,mb,,22,2.843,1.13,us,usc000kpsu,2014-01-03T00:32:57.000Z,"300km SW of Longyearbyen, Svalbard and Jan Mayen",earthquake,,1.8,0.05,,reviewed,us,us
2013-10-13T07:34:06.270Z,63.7251,-22.6586,10,4.8,mb,,46,6.699,0.54,us,usb000kc66,2013-12-24T01:43:00.000Z,"17km SW of Grindavik, Iceland",earthquake,,2.6,0.032,,reviewed,us,us
2013-10-09T10:31:09.540Z,55.7487,-34.8566,10,4.3,mb,,112,7.747,0.78,us,usb000kita,2013-12-24T01:42:57.000Z,"Reykjanes Ridge",earthquake,,1.8,0.239,,reviewed,us,us
2013-10-08T01:40:02.370Z,74.1827,13.7083,15.04,4.6,mb,,50,4.068,1.13,us,usb000k8bn,2013-12-24T01:42:56.000Z,"Norwegian Sea",earthquake,,3.6,0.065,,reviewed,us,us
2013-10-05T18:35:59.540Z,79.7308,0.5156,11.46,4.2,mb,,132,2.278,1.45,us,usb000kadh,2013-12-19T02:51:35.000Z,"Greenland Sea",earthquake,,7.6,0.167,,reviewed,us,us
2013-10-04T19:05:52.440Z,55.7576,-35.1558,17.97,4.5,mb,,113,11.304,1.17,us,usb000kack,2013-12-19T02:51:35.000Z,"Reykjanes Ridge",earthquake,,5.4,0.181,,reviewed,us,us
2013-10-04T19:01:23.540Z,55.7052,-34.2028,18.14,4.7,mb,,135,17.512,1.04,us,usb000kach,2013-12-19T02:51:35.000Z,"Reykjanes Ridge",earthquake,,6.7,0.317,,reviewed,us,us
2013-10-04T18:59:01.100Z,55.7576,-34.451,18.04,4.7,mb,,113,11.098,0.86,us,usb000kace,2013-12-19T02:51:35.000Z,"Reykjanes Ridge",earthquake,,5.1,0.113,,reviewed,us,us
2013-10-01T19:41:31.890Z,55.794,-34.761,7.15,5.3,mwb,,16,7.749,0.79,us,usb000k41q,2013-12-19T02:51:32.000Z,"Reykjanes Ridge",earthquake,,3.7,0.058,,reviewed,us,us
2013-09-30T20:21:16.960Z,55.6555,-34.3891,10,4.7,mb,,85,11.17,1.02,us,usb000k33m,2013-12-13T09:00:38.000Z,"Reykjanes Ridge",earthquake,,1.9,0.092,,reviewed,us,us
2013-09-26T02:32:10.030Z,57.457,-32.9134,9.89,4.8,mb,,35,8.489,1.05,us,usb000k00c,2013-12-13T09:00:33.000Z,"Reykjanes Ridge",earthquake,,3,0.07,,reviewed,us,us
2013-09-26T02:31:06.060Z,57.4082,-33.1353,10,4,mb,,122,7.326,0.71,us,usb000k60n,2013-12-13T09:00:33.000Z,"Reykjanes Ridge",earthquake,,1.9,0.259,,reviewed,us,us
2013-09-26T02:26:04.050Z,57.4537,-33.3763,10.33,4.4,mb,,122,8.437,1.03,us,usb000k60m,2013-12-13T09:00:33.000Z,"Reykjanes Ridge",earthquake,,2.8,0.203,,reviewed,us,us
2013-09-26T02:25:39.160Z,57.3899,-33.2843,10.07,4.6,mb,,105,9.366,1.13,us,usb000k60l,2013-12-13T09:00:33.000Z,"Reykjanes Ridge",earthquake,,2.9,0.141,,reviewed,us,us
2013-09-26T01:18:54.640Z,57.5481,-33.0433,9.9,5.4,mb,,23,7.285,1.02,us,usb000jzzs,2013-12-13T09:00:33.000Z,"Reykjanes Ridge",earthquake,,2.6,0.025,,reviewed,us,us
2013-09-23T08:14:23.500Z,57.3685,-33.1268,10,4.3,mb,,137,25.894,1.11,us,usb000k2b9,2013-12-09T21:11:13.000Z,"Reykjanes Ridge",earthquake,,1.9,0.147,,reviewed,us,us
2013-09-14T20:02:12.150Z,52.1333,-30.0367,7.8,4.7,mb,,69,12.354,0.44,us,usc000jujv,2013-11-19T17:37:55.000Z,"Northern Mid-Atlantic Ridge",earthquake,,4.1,0.048,,reviewed,us,us
2013-09-01T08:49:19.760Z,82.9576,-6.3499,10,4.4,mb,,68,4.947,0.67,us,usb000jel4,2013-11-06T01:33:37.000Z,"219km NE of Nord, Greenland",earthquake,,2.7,0.056,,reviewed,us,us
2013-08-25T07:00:38.540Z,62.7891,-24.9825,9.96,4.2,mb,,105,2.549,0.64,us,usb000jgmz,2013-10-25T20:10:03.000Z,"173km SW of Grindavik, Iceland",earthquake,,2.8,0.147,,reviewed,us,us
2013-08-01T22:33:35.620Z,84.7749,6.357,10.1,4.5,mb,,93,5.944,0.75,us,usb000j2sb,2013-09-25T17:45:50.000Z,"North of Svalbard",earthquake,,1.3,0.086,,reviewed,us,us
2013-07-27T16:22:50.740Z,76.932,17.959,10,4.2,mb,43,71,,0.99,us,usc000iqmr,2014-11-07T01:51:20.675Z,"154km SSE of Longyearbyen, Svalbard and Jan Mayen",earthquake,,,,22,reviewed,us,us
2013-07-15T14:41:36.150Z,69.885,-15.717,10,4.4,mb,33,82.9,,1,us,usp000k21a,2014-11-07T01:51:16.491Z,"Jan Mayen Island region",earthquake,,,,5,reviewed,us,us
2013-07-15T14:39:58.610Z,69.879,-15.742,10.7,4.8,mb,89,74.6,,0.57,us,usb000ieg5,2014-11-07T01:51:16.484Z,"243km ESE of Ittoqqortoormiit, Greenland",earthquake,,9.7,,54,reviewed,us,us
2013-07-15T13:47:54.300Z,69.957,-15.438,10,4.6,mb,23,74.8,,1.08,us,usp000k216,2014-11-07T01:51:16.355Z,"Jan Mayen Island region",earthquake,,,,6,reviewed,us,us
2013-07-15T13:41:29.490Z,69.94,-15.617,7,4.5,mb,64,48.2,,0.92,us,usb000ief2,2014-11-07T01:51:16.335Z,"241km ESE of Ittoqqortoormiit, Greenland",earthquake,,17,,32,reviewed,us,us
2013-07-15T11:34:26.790Z,70.068,-15.994,10,4.5,mb,88,48,,0.78,us,usb000iee9,2014-11-07T01:51:16.297Z,"231km E of Ittoqqortoormiit, Greenland",earthquake,,,,88,reviewed,us,us
2013-07-15T11:17:33.460Z,69.946,-15.691,10,4.4,mb,71,47,,0.51,us,usb000iee7,2014-11-07T01:51:16.290Z,"242km E of Ittoqqortoormiit, Greenland",earthquake,,,,69,reviewed,us,us
2013-07-15T02:08:03.000Z,54.524,-35.218,9.9,4.1,mb,40,97,,0.91,us,usp000k20u,2014-11-07T01:51:16.202Z,"Reykjanes Ridge",earthquake,,2.7,,30,reviewed,us,us
2013-07-02T20:42:11.420Z,81.431,-3.549,7.7,4.4,mb,67,90,,0.92,us,usp000k1nm,2014-11-07T01:51:12.511Z,"north of Svalbard",earthquake,,5.2,,52,reviewed,us,us
2013-06-27T12:26:36.400Z,58.448,-31.638,10,4.1,mb,15,163,,0.38,us,usp000k1h4,2014-11-07T01:51:07.802Z,"Reykjanes Ridge",earthquake,,,,6,reviewed,us,us
2013-06-27T06:00:43.540Z,58.654,-31.56,9.8,4.2,mb,23,140,,1.14,us,usp000k1gw,2014-11-07T01:51:07.723Z,"Reykjanes Ridge",earthquake,,4.9,,16,reviewed,us,us
2013-06-26T06:44:39.260Z,58.392,-31.909,10,4.6,mb,68,93,,1.05,us,usc000i0l8,2014-11-07T01:51:07.566Z,"Reykjanes Ridge",earthquake,,,,130,reviewed,us,us
2013-06-25T02:53:48.140Z,82.828,-24.008,15.1,4.2,mb,28,71,,1.37,us,usp000k1f1,2014-11-07T01:51:07.326Z,"near the north coast of Greenland",earthquake,,5.8,,14,reviewed,us,us
2013-06-13T11:55:42.400Z,58.07,-32.185,10,4.3,mb,18,136,,1.19,us,usp000k184,2014-11-07T01:51:04.063Z,"Reykjanes Ridge",earthquake,,,,13,reviewed,us,us
2013-06-13T10:10:42.630Z,58.121,-32.259,10,4.2,mb,17,135,,0.86,us,usp000k17z,2014-11-07T01:51:04.044Z,"Reykjanes Ridge",earthquake,,,,7,reviewed,us,us
2013-06-13T10:08:41.500Z,57.986,-32.05,10,4.3,mb,42,79,,0.62,us,usp000k17y,2014-11-07T01:51:04.040Z,"Reykjanes Ridge",earthquake,,,,49,reviewed,us,us
2013-06-03T16:48:29.340Z,74.738,8.299,10,4.5,mb,87,42.6,,1.05,us,usb000hc8s,2014-11-07T01:51:00.196Z,"Greenland Sea",earthquake,,0,,44,reviewed,us,us
2013-06-01T14:06:51.750Z,82.313,-6.126,10,4.4,mb,41,52.7,,1.23,us,usb000hbdd,2014-11-07T01:50:58.404Z,"195km ENE of Nord, Greenland",earthquake,,,,28,reviewed,us,us
2013-05-19T06:27:47.160Z,62.63,-25.426,10,4.4,mb,51,68,,0.54,us,usb000gyu6,2014-11-07T01:50:50.083Z,"206km SW of Grindavik, Iceland",earthquake,,2.9,,33,reviewed,us,us
2013-05-10T01:06:04.790Z,63.758,-23.128,10,4.1,mb,35,121.9,,0.95,us,usc000gsmf,2014-11-07T01:50:45.964Z,"35km WSW of Grindavik, Iceland",earthquake,,,,22,reviewed,us,us
2013-05-09T19:20:40.200Z,63.753,-23.083,10,4.6,mb,103,55.1,,1.01,us,usc000gs7g,2014-11-07T01:50:45.887Z,"33km WSW of Grindavik, Iceland",earthquake,,,,56,reviewed,us,us
2013-05-09T17:10:22.480Z,63.932,-23.236,10,4.5,mb,17,149,,1.4,us,usc000gs0s,2014-11-07T01:50:45.850Z,"69km WSW of Grindavik, Iceland",earthquake,,,,14,reviewed,us,us
2013-05-09T10:49:28.100Z,63.984,-22.98,9.5,4.4,mb,16,165,,0.94,us,usc000grt3,2014-11-07T01:50:45.801Z,"14km WSW of Sandgerdi, Iceland",earthquake,,5.3,,8,reviewed,us,us
2013-04-28T22:52:11.530Z,57.122,-33.473,10.3,4.5,mb,58,73,,1.22,us,usp000k0g1,2014-11-07T01:50:39.424Z,"Reykjanes Ridge",earthquake,,2.8,,41,reviewed,us,us
2013-04-18T01:43:46.700Z,52.559,-31.699,9.9,4.4,mb,22,97,,1.27,us,usp000k0ag,2014-11-07T01:50:35.446Z,"northern Mid-Atlantic Ridge",earthquake,,2.8,,7,reviewed,us,us
2013-04-11T23:02:53.700Z,60.698,-43.955,11.3,4.6,mwc,302,49.6,,0.78,us,us2013nwa6,2014-11-07T01:50:33.000Z,"93km NE of Nanortalik, Greenland",earthquake,,2.2,,,reviewed,us,gcmt
